band,date
1,2021-01-04
2,2021-01-11
3,2021-01-18
4,2021-01-25
5,2021-02-01
6,2021-02-08
7,2021-02-15
8,2021-02-22
9,2021-03-01
10,2021-03-08
11,2021-03-15
12,2021-03-22
13,2021-03-29
14,2021-04-05
15,2021-04-12
16,2021-04-19
17,2021-04-26
18,2021-05-03
19,2021-05-10
20,2021-05-17
21,2021-05-24
22,2021-05-31
23,2021-06-07
24,2021-06-14
25,2021-06-21
26,2021-06-28
27,2021-07-06
28,2021-07-13
29,2021-07-20
30,2021-07-27
31,2021-08-03
32,2021-08-10
33,2021-08-17
34,2021-08-24
35,2021-08-31
36,2021-09-07
37,2021-09-14
38,2021-09-21
39,2021-09-28
40,2021-10-05
41,2021-10-12
42,2021-10-19
43,2021-10-26
44,2021-11-02
45,2021-11-09
46,2021-11-16
47,2021-11-23
48,2021-11-30
49,2021-12-07
50,2021-12-14
51,2021-12-21
52,2021-12-28
